text,label
O cliente XPTO reportou uma lentidão ao carregar o dashboard principal. Precisamos investigar a causa com urgência. Alguém da equipe de infra pode verificar os logs do servidor?,produtivo
Gostaria de agendar uma breve chamada para discutirmos os requisitos do novo projeto de BI. Qual seria o melhor horário para você na próxima semana?,produtivo
"Obrigado pela reunião, foi muito produtiva!",improdutivo
Este email é importante e preciso tomar ação agora,produtivo
Não consigo me conectar à VPN da empresa esta manhã. Podem me ajudar a solucionar?,produtivo
O almoço de confraternização da equipe será na próxima sexta-feira. Em breve enviaremos mais detalhes sobre o local e horário.,improdutivo
Poderia me esclarecer uma dúvida sobre a regra de negócio RN-052? Não ficou claro para mim se o desconto se aplica a todos os produtos da categoria 'Eletrônicos'.,produtivo
Confirmando minha presença na palestra de amanhã.,improdutivo
O build da aplicação falhou no ambiente de testes. Segue o log em anexo. Podem analisar o que ocorreu?,produtivo
O relatório que você me pediu está em anexo. Me avise se precisar de algum ajuste.,produtivo
Boas festas e um excelente ano novo para você e sua família!,improdutivo
"Solicito a criação de um novo usuário para a plataforma de CRM. Nome: 'Fernanda Souza', Perfil: 'Vendedor'.",produtivo
"Apenas para informar que estarei de férias no período de 15/09 a 30/09. Para assuntos urgentes, favor contatar o colega Marcos.",improdutivo
Quando teremos a definição sobre a tecnologia que será utilizada no backend do projeto 'Sirius'?,produtivo
Obrigado por me adicionar ao projeto!,improdutivo
O acesso do fornecedor ao nosso sistema expirou. É possível renovar por mais 30 dias? Os detalhes estão no chamado #CH-9870.,produtivo
"Parabéns pela promoção, Mariana! Muito merecido.",improdutivo
Onde encontro o template padrão para a elaboração do plano de projeto?,produtivo
"Conforme conversamos, segue a minuta do contrato para sua avaliação. Por favor, me retorne com seus comentários até quarta-feira.",produtivo
Obrigado a todos que participaram da nossa campanha de doação. Arrecadamos um valor incrível!,improdutivo
"O sistema de emissão de notas fiscais está offline. Temos urgência na resolução, pois o faturamento do dia está parado. Qual a previsão de retorno?",produtivo
Gostaria de tirar uma dúvida: o prazo final para a entrega da primeira fase do projeto é dia 10 ou dia 15 do próximo mês?,produtivo
Este é um e-mail automático para confirmar o recebimento da sua solicitação. Não é necessário respondê-lo.,improdutivo
"Por gentileza, poderiam reenviar a fatura com vencimento em setembro? Não a localizei em minha caixa de entrada.",produtivo
Obrigado pela informação.,improdutivo
Precisamos de uma decisão sobre o layout da página inicial até o final desta semana para não impactar o cronograma do desenvolvedor front-end.,produtivo
A vaga de Analista de Dados Sr. foi preenchida. Agradecemos o interesse de todos os que se candidataram.,improdutivo
"A impressão na multifuncional do terceiro andar não está funcionando. Já reiniciei o equipamento, mas o problema persiste. Podem enviar um técnico?",produtivo
"Gostaria de saber se há alguma atualização sobre o ticket de suporte que abri ontem, de número #11235.",produtivo
"Boas-vindas ao novo membro da equipe, Rafael!",improdutivo
"Por favor, revisar e aprovar as alterações no documento 'Especificação Funcional v2.1' que está na pasta compartilhada.",produtivo
Recebi sua mensagem e vou verificar o ocorrido. Retorno em breve.,improdutivo
Poderiam me dar permissão de escrita no repositório 'mobile-app' do Git? Preciso subir as novas features.,produtivo
A empresa X fará uma apresentação de sua ferramenta de monitoramento na próxima terça-feira às 11h. A participação é opcional.,improdutivo
O certificado SSL do nosso site de e-commerce irá expirar em 5 dias. Precisamos iniciar o processo de renovação imediatamente.,produtivo
A fatura deste mês veio com um valor incorreto. Poderiam verificar o que aconteceu e emitir uma segunda via corrigida? Anexei a fatura para referência.,produtivo
Obrigado por me manter atualizado sobre o andamento do projeto.,improdutivo
Onde posso encontrar a gravação da reunião de apresentação do novo software de RH?,produtivo
"Parabéns pelo nascimento do seu filho, Lucas! Muitas alegrias para a família.",improdutivo
O deploy em produção que estava agendado para hoje à noite precisa ser cancelado. Encontramos um bug crítico de última hora. Qual o procedimento para o cancelamento formal?,produtivo
Apenas para notificar que conclui a tarefa T-1875 no Jira. O card já foi movido para 'Done'.,improdutivo
Não estou recebendo as notificações do sistema no meu email. Minhas configurações parecem corretas. Podem investigar?,produtivo
"Ótimo trabalho na otimização da query, a performance melhorou significativamente!",improdutivo
Gostaria de solicitar um adiantamento de salário para o próximo mês. Com quem da área de Recursos Humanos eu devo falar?,produtivo
Recebido. Obrigado.,improdutivo
A integração com o gateway de pagamento está retornando um erro de autenticação no ambiente de sandbox. Poderiam nos fornecer novas credenciais de teste?,produtivo
Lembrete: amanhã é o último dia para o preenchimento da pesquisa de clima organizacional.,improdutivo
"Precisamos de uma definição sobre qual será a plataforma de nuvem utilizada: AWS, Azure ou GCP. Essa decisão está bloqueando o início da arquitetura do projeto.",produtivo
Confirmado. Estarei presente na reunião.,improdutivo
O link para o ambiente de testes que me foi enviado parece estar quebrado. Poderiam me enviar o endereço correto?,produtivo
Gostei muito da palestra sobre segurança da informação. Foi bastante esclarecedora.,improdutivo
"Por favor, poderiam exportar os dados de logs do servidor web entre 14:00 e 15:00 de ontem? Estamos investigando uma instabilidade.",produtivo
Sua solicitação de férias foi aprovada.,improdutivo
Qual o prazo para submeter as despesas de viagem do último mês? Preciso fazer o reembolso.,produtivo
"Ok, entendi. Obrigado pelo esclarecimento.",improdutivo
O sistema não está calculando o imposto corretamente para vendas interestaduais. Este é um problema crítico que precisa de atenção imediata.,produtivo
Vi sua mensagem. Retornarei assim que possível.,improdutivo
Solicito a compra de uma licença para o software 'DataGrip'. Segue em anexo o formulário de requisição preenchido.,produtivo
Feliz Natal e um próspero Ano Novo a todos!,improdutivo
O cliente da proposta 2025-A7 solicitou uma alteração no escopo. Precisamos reavaliar o prazo e o custo. Podemos marcar uma reunião urgente para discutir?,produtivo
A documentação da API está desatualizada. O endpoint '/users/create' agora requer um novo campo obrigatório. Favor atualizar o documento.,produtivo
Agradeço a colaboração.,improdutivo
"Meu computador está extremamente lento e travando constantemente, o que está impactando minha produtividade. Posso levar ao suporte técnico para uma avaliação?",produtivo
"Obrigado por compartilhar o artigo, parece muito interessante.",improdutivo
Poderiam me dar um exemplo de como devo preencher o campo 'Centro de Custo' no novo sistema de despesas?,produtivo
Lembrete amigável: o relatório de performance semanal vence hoje.,produtivo
"A funcionalidade de 'drag and drop' para upload de arquivos não está funcionando no navegador Firefox. No Chrome, funciona normalmente. Podem verificar a compatibilidade?",produtivo
Seu pedido #54321 foi enviado com sucesso.,improdutivo
Gostaria de agendar minha avaliação de desempenho trimestral. Você teria disponibilidade na próxima quinta ou sexta-feira?,produtivo
Parabéns pelo seu aniversário de empresa! São 5 anos de grande dedicação.,improdutivo
Onde está localizada a versão mais recente do manual do usuário? O link na intranet parece estar apontando para uma versão antiga.,produtivo
Este e-mail é para confirmar sua inscrição no webinar 'Tendências de Inteligência Artificial para 2026'.,improdutivo
Precisamos da aprovação final no design do aplicativo até amanhã para que a equipe de desenvolvimento possa começar as sprints na segunda-feira.,produtivo
O coffee break de hoje será especial em comemoração aos aniversariantes do mês!,improdutivo
Qual é o procedimento para solicitar um monitor adicional para minha estação de trabalho?,produtivo
Apenas para informar que estarei ausente amanhã no período da manhã para uma consulta médica.,improdutivo
"A query para extração de dados está demorando mais de 10 minutos para rodar, o que é inviável para o relatório em tempo real. Há alguma forma de otimizá-la?",produtivo
Grato pelo retorno rápido.,improdutivo
O ar condicionado do nosso setor parou de funcionar. Está muito quente na sala. Já foi aberto um chamado para a manutenção?,produtivo
Estou tendo problemas para acessar o relatório de progresso do projeto. O sistema pede uma senha que eu não tenho. Qual senha devo usar?,produtivo
Votos de melhoras! Espero que se recupere logo.,improdutivo
"Preciso que a lista de permissões de acesso seja atualizada para incluir o novo estagiário, Pedro Alves. Ele precisa de acesso de leitura ao sistema de chamados.",produtivo
A apresentação de resultados do Q3 foi remarcada para a próxima semana. O novo convite será enviado em breve.,improdutivo
Poderiam verificar por que o job noturno de backup falhou na última madrugada? Precisamos garantir a integridade dos dados.,produtivo
Legal! Obrigado por compartilhar.,improdutivo
A API de consulta de CEP está retornando 404 para todos os endpoints. A documentação indica que deveria estar ativa. Houve alguma mudança não comunicada?,produtivo
Recebemos o seu currículo e agradecemos o seu interesse em fazer parte da nossa equipe. Manteremos seu perfil em nosso banco de dados para futuras oportunidades.,improdutivo
"Por favor, preciso que a nota fiscal 8876-B seja cancelada no sistema. Foi emitida com o CNPJ incorreto. Qual o procedimento para a carta de correção?",produtivo
Lembrete: O prazo para entrega do IRPF se encerra na próxima semana.,improdutivo
O servidor de homologação (HML) não está respondendo desde as 8h da manhã. A equipe de QA está parada. Poderiam verificar a situação com urgência?,produtivo
Parabéns pelo fechamento do grande contrato com a ACME Corp! Uma vitória imensa para todo o time!,improdutivo
Gostaria de solicitar acesso de administrador temporário ao WordPress do blog corporativo para instalar um novo plugin de SEO. Acesso necessário por 24h.,produtivo
"Apenas para ciência de todos, a partir de hoje o ramal do setor de Compras mudou para 4567.",improdutivo
Poderiam me enviar o balanço financeiro consolidado do último trimestre? Preciso dos dados para a apresentação ao conselho.,produtivo
Obrigado por me incluir na conversa.,improdutivo
A tarefa [JIRA-TICKET-5543] está me bloqueando. A API da qual dependo ainda não foi liberada pela outra equipe. Podemos escalar a prioridade?,produtivo
"Este é um email automático. Por favor, não responda.",improdutivo
Preciso de uma cotação para a renovação de 15 licenças do pacote Adobe Creative Cloud. Nosso contrato atual vence no próximo mês.,produtivo
"Boas férias, [Nome]! Aproveite para descansar bastante.",improdutivo
O cliente [Nome do Cliente] está solicitando uma reunião para renegociar os termos do contrato de serviço. Qual a sua disponibilidade na próxima semana?,produtivo
Confirmo o recebimento dos arquivos. Irei analisá-los e retorno em breve.,improdutivo
Minha assinatura de email está desatualizada. Como faço para atualizá-la com meu novo cargo?,produtivo
A pesquisa de satisfação do cliente do último mês já está disponível no dashboard de BI.,improdutivo
"Por favor, aprovem minha solicitação de viagem para a conferência em São Paulo. As passagens precisam ser emitidas até sexta-feira para garantir o preço.",produtivo
Bem-vindo à nossa newsletter mensal!,improdutivo
A execução do script de migração de dados falhou com um erro de 'primary key violation'. Seguem os logs em anexo para análise. O que devo fazer?,produtivo
Obrigado a todos que participaram do nosso workshop de segurança. O feedback foi muito positivo!,improdutivo
Gostaria de um esclarecimento sobre a política de reembolso de despesas com home office. O custo com internet de alta velocidade é elegível?,produtivo
Estou ciente da situação e acompanhando.,improdutivo
Onde posso encontrar o termo de confidencialidade (NDA) padrão da empresa para enviar a um novo parceiro?,produtivo
"Sua senha irá expirar em 3 dias. Por favor, clique no link a seguir para atualizá-la.",improdutivo
O ar condicionado da sala de reuniões 5 não está gelando. Temos uma apresentação importante com cliente lá em 1 hora. É possível verificar?,produtivo
"A ata da reunião de ontem foi excelente, muito bem detalhada. Obrigado!",improdutivo
Precisamos urgentemente de um backup do banco de dados do sistema [Nome do Sistema] de ontem (D-1) para restaurar em um ambiente de desenvolvimento. Quem pode me ajudar?,produtivo
O evento foi um sucesso! Obrigado pela organização.,improdutivo
"Por favor, adicione o IP 172.16.5.89 à whitelist do firewall para que nosso novo fornecedor possa acessar o SFTP.",produtivo
Parabéns pelo seu aniversário de 10 anos de empresa! Uma trajetória incrível.,improdutivo
Qual o processo para solicitar um novo notebook? Meu equipamento atual está apresentando falhas constantes e já tem mais de 4 anos de uso.,produtivo
Obrigado pela rápida resposta.,improdutivo
A compilação do aplicativo Android está falhando no Jenkins. O mesmo código compila normalmente na minha máquina local. Podem verificar as configurações do ambiente de CI/CD?,produtivo
Informamos que o estacionamento do prédio estará em obras na próxima semana. Utilizem as vagas alternativas sinalizadas.,improdutivo
Poderiam me passar o contato do gerente responsável pelo projeto [Nome do Projeto]? Preciso alinhar uma dependência técnica.,produtivo
"Recebido, vou encaminhar para o setor responsável.",improdutivo
Gostaria de registrar uma sugestão de melhoria para o sistema de CRM: adicionar um campo de 'data de último contato' na tela principal do cliente. Onde posso formalizar isso?,produtivo
Sinto muito pela sua perda. Meus pêsames a você e sua família.,improdutivo
O relatório de vendas exportado pelo sistema está vindo sem os dados da filial de Manaus. Este problema começou após a última atualização. Podem corrigir?,produtivo
Apenas compartilhando este artigo sobre novas tendências em machine learning que achei muito relevante para o nosso projeto.,improdutivo
Preciso agendar a homologação da nova funcionalidade de pagamento via Pix com o cliente. Qual a melhor data para a equipe de produto acompanhar?,produtivo
Gostei da nova decoração do escritório!,improdutivo
O acesso via RDP ao servidor SRV-DB01 está indisponível. Preciso executar um script de manutenção. Poderiam verificar o que está acontecendo?,produtivo
Parabéns pela conclusão da sua certificação! É um grande feito.,improdutivo
"Por favor, me inclua na lista de distribuição de emails sobre as atualizações do projeto 'Orion'.",produtivo
Sua solicitação de acesso foi processada.,improdutivo
A licença do software de antivírus em minha máquina expirou. Como proceder para a renovação?,produtivo
Desejo a todos um ótimo final de semana.,improdutivo
O cliente está questionando uma cobrança na fatura de Março. Alguém do financeiro pode me ajudar a analisar o extrato e preparar uma resposta?,produtivo
"Obrigado por organizar o happy hour, foi muito divertido!",improdutivo
Qual a versão do PHP homologada para rodar a nova versão do sistema? Preciso configurar meu ambiente de desenvolvimento.,produtivo
Sua assinatura em nosso serviço foi renovada com sucesso.,improdutivo
Precisamos de uma definição do time de marketing sobre o texto final para a nova landing page. O prazo de desenvolvimento se encerra amanhã.,produtivo
"O café da manhã de boas-vindas para os novos contratados será amanhã, às 9h, na copa principal.",improdutivo
"A sala de conferência para a nossa reunião das 15h está ocupada, embora estivesse reservada em meu nome. Podemos usar outra sala? Onde?",produtivo
Agradeço a ajuda e a paciência.,improdutivo
"Por favor, conceda permissão de leitura e escrita para o usuário 'j.santos' na pasta '\\servidor\projetos\marketing\campanha2025'.",produtivo
A gravação do treinamento de ontem já está disponível na plataforma de EAD.,improdutivo
Onde estão os mockups de alta fidelidade aprovados pelo cliente? Preciso deles para iniciar o desenvolvimento do front-end.,produtivo
Foi um prazer conhecê-lo na reunião de hoje.,improdutivo
"O processo de importação de planilhas está corrompendo caracteres especiais (acentos, ç). Precisamos que isso seja corrigido, pois afeta a base de clientes.",produtivo
Fico feliz em saber que o problema foi resolvido.,improdutivo
Gostaria de solicitar um segundo monitor. Meu trabalho envolve a comparação constante de planilhas e isso aumentaria muito minha produtividade. Qual o procedimento?,produtivo
Lembrete: a vacinação contra a gripe ocorrerá no ambulatório da empresa na próxima quarta-feira.,improdutivo
O job que processa os pagamentos noturnos parece estar em loop infinito e consumindo 100% da CPU do servidor. Precisamos intervir para não impactar outras operações.,produtivo
"Apenas para registrar, a decisão foi tomada na reunião de ontem e documentada na ata que enviei mais cedo.",improdutivo
"Preciso de uma sala com projetor para 10 pessoas para a próxima terça-feira, das 14h às 16h. Qual está disponível?",produtivo
"Seu feedback é muito importante para nós. Por favor, responda a esta breve pesquisa.",improdutivo
O cliente reportou que não consegue finalizar a compra com cartão de crédito internacional. Podem simular um teste e verificar os logs do gateway de pagamento?,produtivo
Parabéns a todos que bateram suas metas neste trimestre!,improdutivo
É possível obter uma listagem de todos os usuários com perfil de 'administrador' no sistema [Nome do Sistema]? Precisamos fazer uma auditoria de segurança.,produtivo
As fotos da festa de final de ano já estão no drive compartilhado!,improdutivo
O formulário de contato do site não está enviando emails para o time de vendas. Testei agora e não recebi a notificação. Podem verificar a configuração do SMTP?,produtivo
Agradeço a todos pela colaboração.,improdutivo
Solicito o estorno do lançamento duplicado no meu cartão corporativo referente à viagem para Belo Horizonte. Seguem os comprovantes em anexo.,produtivo
Tenha um ótimo dia!,improdutivo
A URL do ambiente de staging mudou? Não consigo mais acessá-la pelo link antigo.,produtivo
Obrigado por notar. Já estou corrigindo.,improdutivo
"Prezado(a) [Nome], Gostaria de agendar uma reunião para discutirmos o projeto Alpha. Por favor, me informe sua disponibilidade na próxima semana. Atenciosamente, [Seu Nome]",produtivo
"Olá equipe, O relatório trimestral precisa ser entregue até sexta-feira. Favor priorizar e me enviar as seções de cada um assim que concluídas. Obrigado!",produtivo
Confirmando o recebimento do seu e-mail. A fatura foi encaminhada para pagamento e será processada em breve. Abs.,produtivo
"Prezado(a) [Nome], A sua solicitação de acesso ao sistema foi aprovada. As credenciais serão enviadas por e-mail em até 24 horas. Cordialmente, Suporte Técnico",produtivo
"Equipe, A apresentação final para o cliente será amanhã às 10h. Revisem o slide 15 com os dados de Q3 para garantir a precisão. Obrigado.",produtivo
Apenas para testar o envio de e-mails. Ignore esta mensagem. Atenciosamente.,improdutivo
Fim de semana chegando! Vamos sair? Me ligue. Abraços.,improdutivo
"Confiram a foto do nosso novo escritório, ficou incrível! Meus cumprimentos a todos os envolvidos. xD",improdutivo
Apresentando uma nova abordagem para a inovação centrada no cliente e a otimização de fluxos de trabalho através de uma sinergia holística de soluções de ponta. Blablabla.,improdutivo
"E aí, tudo bem? Só queria saber se já almoçou. Abraços!",improdutivo
"Prezados, favor confirmar presença na confraternização da empresa. É só para a gente ter uma ideia de quantas pessoas vão, não é obrigatório.",improdutivo
"Comunicado: Alteração de sala de reunião. A reunião agendada para hoje às 14h na sala 301, será agora na sala 405. Obrigado pela compreensão.",produtivo
Gostaria de saber se o problema no servidor já foi resolvido. Estamos aguardando a resposta para continuar as atividades.,produtivo
"Por favor, revisem o documento anexo e deixem seus comentários até o final do dia. Precisamos da aprovação de todos para seguir com a próxima fase. Grato.",produtivo
Enviando o link para a pesquisa de satisfação da empresa. Leva apenas 2 minutos para responder. Sua opinião é muito importante para nós. Obrigado.,improdutivo
"Atraso no projeto de Marketing. Devido a problemas técnicos, o prazo de entrega será prorrogado para a próxima sexta-feira. Agradecemos a compreensão de todos.",produtivo
"Olá [Nome], Fiquei em dúvida sobre o cálculo do item 3. Poderia me dar uma ajuda rápida? Estou disponível para ligar se precisar. Obrigado.",produtivo
"Equipe, O café da manhã especial será servido na copa do 3º andar. Aproveitem!",improdutivo
Lembrete: O prazo para preenchimento da declaração de despesas de viagem é esta sexta-feira. Favor preencher o formulário online.,produtivo
Gostaria de saber se o pagamento do fornecedor X já foi realizado. Ele nos cobrou novamente. Aguardo seu retorno.,produtivo
"Olá a todos, Segue o link para a live de apresentação do novo produto. Contamos com a presença de todos.",improdutivo
"Convite para a festa de final de ano da empresa. Traje: casual. Música, comida e muita diversão! Não perca!",improdutivo
"Anexei a planilha de dados de vendas que você solicitou. Os dados estão filtrados por região e estão prontos para a sua análise. Qualquer dúvida, estou à disposição.",produtivo
"Olá, Conforme a nossa conversa, segue o contrato de prestação de serviços para a sua revisão. Peço que nos retorne com a sua assinatura ou com as suas observações. Obrigado.",produtivo
Para conhecimento. O relatório de desempenho do setor já foi finalizado e será apresentado na próxima reunião. Agradeço o empenho da equipe.,produtivo
Compartilhando um artigo interessante sobre as últimas tendências do mercado de tecnologia. Acredito que possa ser útil para a equipe.,improdutivo
"Obrigado por nos enviar sua proposta. Infelizmente, no momento não estamos com vagas abertas que se encaixem no seu perfil. Manteremos seu currículo em nosso banco de dados.",improdutivo
"Bom dia! A conta de energia já foi paga. O comprovante está em anexo. Atenciosamente, Financeiro.",produtivo
Apenas para confirmar a entrega do material na sede do cliente. A transportadora já me enviou a confirmação.,produtivo
"Bom dia, equipe. Tenho uma novidade para compartilhar com vocês! Vamos fazer uma ação social no próximo mês. Todos estão convidados a participar.",improdutivo
"Seja bem-vindo(a) à nossa newsletter! Fique por dentro das novidades, promoções e conteúdos exclusivos do nosso blog.",improdutivo
"Lembrete de renovação de domínio. Seu domínio [nome-do-dominio] irá expirar em 30 dias. Por favor, renove para evitar a interrupção dos serviços.",improdutivo
"Prezados, O link para a pesquisa de clima está com problemas. Não consigo acessar. Poderiam verificar? Aguardo retorno.",produtivo
Pedido de licença médica aprovado. O setor de RH encaminhará todas as informações necessárias. Melhoras!,produtivo
"Olá, Gostaria de agendar um café para conversarmos sobre uma parceria. Me diga quando está disponível. Abraços.",improdutivo
"Apresentação da empresa. Anexo a apresentação institucional com nossos produtos e serviços. Por favor, avaliem e me digam se têm interesse em uma reunião.",produtivo
"Confiram a foto do nosso novo escritório, ficou incrível! Meus cumprimentos a todos os envolvidos. :)",improdutivo
"Assunto: Novas Regras de Estacionamento. Prezados colaboradores, a partir da próxima semana, o estacionamento da empresa terá novas regras de uso. Para mais detalhes, consulte a circular na intranet. Atenciosamente, Recursos Humanos.",improdutivo
Apenas para informar que o sistema de vendas está com instabilidade desde as 09h. Nosso time técnico já foi acionado e está trabalhando para resolver. Avisaremos quando for normalizado.,improdutivo
Confirmando a reunião de amanhã. O anexo contém a pauta e o relatório pré-reunião. Favor ler com antecedência. Até mais!,produtivo
"Agradecemos o seu contato. A sua mensagem foi recebida e será respondida em até 48 horas úteis. Atenciosamente, Suporte ao Cliente.",improdutivo
"Olá, por favor, me envie uma atualização sobre o status do pedido #12345.",produtivo
"Prezados, Feliz Páscoa para todos! Que o dia de vocês seja abençoado.",improdutivo
"Por favor, verifique se os dados da planilha de orçamento foram atualizados e me retorne. Obrigado.",produtivo
Feliz Natal e um próspero Ano Novo a todos! Que o próximo ano seja de grandes conquistas.,improdutivo
"Anexo a apresentação final para o cliente. Por favor, leiam e me digam se precisam de alguma alteração.",produtivo
"Apenas para informar que estou de licença a partir de amanhã e retorno em 15 dias. Qualquer urgência, contatem o [Nome da pessoa].",produtivo
Feliz Aniversário! Tudo de bom para você e que a felicidade esteja sempre presente em sua vida.,improdutivo
"Verifiquei o sistema, mas o problema persiste. Poderiam nos ajudar com uma solução?",produtivo
"E aí, tudo em paz? Por aqui está tudo tranquilo, só queria saber como andam as coisas. Abraços!",improdutivo
Anexei o relatório de despesas do último trimestre para sua análise. Aguardo seu feedback.,produtivo
"Olá, poderiam confirmar a presença de vocês no evento de lançamento do novo produto? Contamos com a sua presença!",improdutivo
"Precisamos de uma resposta até o final do dia sobre a proposta. Por favor, nos diga se a aprovação foi realizada.",produtivo
Comunicado: O almoço especial do dia das mães será servido às 12:30. Esperamos todos vocês!,improdutivo
"Por favor, verifique e me diga se há algum problema com a entrega do pedido #9876. O cliente está aguardando.",produtivo
"Olá, Gostaria de agendar uma ligação rápida para tirar uma dúvida sobre a nova política de reembolsos. Me diga um horário disponível.",produtivo
Compartilhando um meme que achei engraçado. Espero que gostem! rsrs,improdutivo
"Por favor, nos envie os dados do projeto até a próxima semana. Precisamos deles para o relatório final. Obrigado.",produtivo
Anexei o contrato assinado e o comprovante de pagamento. Agradeço a sua colaboração. Atenciosamente.,produtivo
Feliz Dia das Bruxas! Não se esqueçam de pegar os doces na recepção hoje!,improdutivo
"Precisamos de mais detalhes sobre o andamento do projeto. Por favor, nos envie um status atualizado.",produtivo
"Em anexo, você encontrará as atas de todas as reuniões do projeto. Por favor, revise-as e me avise se tiver alguma observação.",produtivo
"Olá, encontrei esse vídeo na internet e achei que poderia ser útil para a nossa equipe de design. Dêem uma olhada.",improdutivo
"Gostaria de saber se já foi possível avançar com a sua parte do projeto. Por favor, me dê um retorno. Obrigado.",produtivo
"Anexei as especificações técnicas do novo sistema. Acredito que seja útil para a sua equipe. Qualquer dúvida, estou à disposição.",produtivo
"Por favor, me informe o status da requisição de compra de materiais. Precisamos do status para aprovar. Grato.",produtivo
"Anexei o relatório de análise de mercado. Precisamos discutir os resultados na próxima reunião. Por favor, leia com antecedência.",produtivo
Olá! Não se esqueçam de participar do nosso grupo de bate-papo no WhatsApp. É uma forma de nos comunicarmos melhor.,improdutivo
"Olá, por favor, nos envie a apresentação final até o final do dia. Obrigado!",produtivo
Apenas para testar o envio de e-mails. Ignore esta mensagem. Atencionalmente.,improdutivo
Gostaria de um update sobre a solicitação que fiz. Alguma novidade?,produtivo
O projeto foi aprovado! Segue o novo cronograma para conhecimento da equipe. Parabéns a todos!,produtivo
"Precisamos de uma cotação para o serviço X. Por favor, nos envie o orçamento o mais rápido possível. Obrigado!",produtivo
Apenas um lembrete: A reunião de hoje foi cancelada e será remarcada em breve.,produtivo
"Favor, preencher o formulário de feedback do evento até o final da semana. Agradecemos sua participação.",improdutivo
Feliz Dia do Amigo! Que a nossa amizade continue forte por muitos anos.,improdutivo
Estamos com um problema de acesso ao sistema. O time de TI já está ciente e está investigando. Em breve daremos um retorno.,improdutivo
Precisamos de uma revisão urgente na proposta comercial. O cliente solicitou algumas alterações.,produtivo
"Segue anexo o documento que resume os principais pontos discutidos na reunião. Por favor, confirmem o recebimento.",produtivo
Você foi selecionado para participar de uma pesquisa exclusiva. Clique aqui para responder.,improdutivo
Olá! Segue a agenda da próxima semana para alinhamento. Favor verificar e me avisar se houver algum conflito. Atenciosamente.,produtivo
Gostaria de uma previsão de conclusão para a tarefa que te passei. O prazo final está se aproximando.,produtivo
O sistema de folha de pagamento estará fora do ar para manutenção. Voltará a operar normalmente às 20h.,improdutivo
Anexei o link para o webinar sobre 'Como otimizar a produtividade'. Acredito que possa ser útil.,improdutivo
"Agradecemos o seu interesse, mas a vaga foi preenchida. Manteremos o seu currículo em nosso banco de dados para futuras oportunidades.",improdutivo
"Por favor, preencha o formulário de aprovação de despesas. Preciso que seja feito até o final do dia.",produtivo
Apenas para te dizer que estou pensando em você! Espero que esteja tudo bem. Abraços!,improdutivo
